object,ra,dec
HD215152,340.8387617086049204,-6.4008202912841003
HD215274,340.9186062054851050,30.0925117231072008
HD215500,341.0242745727209126,64.5706708895865944
HD215704,341.5848998475432268,50.2099664504442984
46 Peg,341.6732493926389793,12.1728857944744000
HD216520,341.8828238153524239,83.6970283913988027
HD216899,344.1450193878595201,16.5534321212744011
51 Peg,344.3665853207141936,20.7688325016200004
HD217107,344.5647537486066767,-2.3953842311614002
HD217165,344.6244866527329123,9.8255592876157003
HD218868,347.7086594335610812,45.5122723372905966
HD219134,348.3207290015031958,57.1683566176720035
HD219538,349.0756569098064119,30.6702059002297993
HD219623,349.1762648166778149,53.2134748409300968
94 Aqr B,349.7773371064101866,-13.4552503761817004
HD220339,350.7703974053380875,-10.7642437599381005
HD221354,352.8425364299075113,59.1655188336237003
HD221851,353.8567074653610121,31.1613071763236000
HD221830,353.8703923241832854,31.0171751798147994
16 Psc,354.0970193472475103,2.1022216400804998
HD222317,354.8790466925788110,28.2465044138368988
iot Psc,354.9876691817332812,5.6262927533197002
