gaia_dr2_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,gaia_teff,gaia_radius
1990119967591008384,342.6941136254348,52.06216943338971,30.866190122521996,0.03394404789460472,143.77471155786955,0.055276587722784466,170.3586096234076,0.05295060430559785,7.060977935791016,6.624983310699463,7.383594989776611,0.7586116790771484,13.570133672033172,0.18043527086847758,5960.0,1.0101425647735596
396332095949773824,22.361021471380695,42.281645662721395,20.691516384566434,0.053518790349061325,139.0392169062879,0.08799492297640019,-60.28687794694645,0.08830301400273978,7.062291622161865,6.705775737762451,7.3186445236206055,0.6128687858581543,-6.522754080846166,0.2885477783514645,6417.0,1.2921079397201538
6519711873737172608,341.86119998474715,-44.96510766001812,30.90857842115244,0.037904674068999826,-33.78080278410318,0.041454995077625685,12.488082203696413,0.056283638185588854,7.06471586227417,6.627800464630127,7.3939690589904785,0.7661685943603516,10.920163584630195,0.14738499139807534,6016.0,0.9872836470603943
2910248953346842112,90.5269508192929,-27.427708561091034,18.356939347061655,0.0316806253298708,-6.8759861386830385,0.04010970112421598,-97.17103757963824,0.05305453393267675,7.070021152496338,6.736394882202148,7.307929515838623,0.5715346336364746,-3.3988309964141337,0.36610663476583183,6551.0947265625,1.391958475112915
3786697056556771584,169.59515141273172,-5.067952293989163,45.13050344831886,0.04611005313181418,795.0346308616149,0.07031518863094412,-151.1375860717431,0.05043380630788872,7.071935176849365,6.548872470855713,7.4812092781066895,0.9323368072509766,12.914627415703304,0.17952525231229477,5465.0,0.8321028351783752
6831554747427433728,324.338217496698,-18.441630134236178,17.72966573361966,0.07280258845793043,55.72473827976177,0.10837015915394346,-104.47416245912984,0.09708402890006987,7.072872161865234,6.743659496307373,7.3088507652282715,0.5651912689208984,-0.37513605617236223,0.39668236157291026,6679.0,1.3848003149032593
4036773589046451584,268.60160881716774,-38.6270585794979,18.221741139714087,0.06136381738280717,3.8162853859932353,0.14116549403227632,-121.73980663329948,0.1106565286794367,7.075820446014404,6.7434539794921875,7.317752838134766,0.5742988586425781,-4.780357110599763,0.4726700097612362,6584.97509765625,1.3841633796691895
3209949503518273024,80.3246366757751,-5.811461252710804,28.484206985719105,0.044406724599142605,0.7318313824246636,0.09358801207926158,-8.139733547835402,0.07654802515911387,7.079202175140381,6.650618553161621,7.393970489501953,0.743351936340332,-4.867055203646448,0.16657909233985324,6048.0,1.0523693561553955
3146303001634267392,121.1255326409396,9.267991106030058,33.532766521567495,0.09746288038203878,271.7919203820254,0.16423610154276524,13.072609734878588,0.10389318875122201,7.083899974822998,6.6193413734436035,7.429268836975098,0.8099274635314941,-55.43716909875982,2.0044739087828733,5823.33349609375,0.9669442772865295
4842770347173769728,58.36356229974574,-41.22241707928236,24.071848846329583,0.02780263906965647,27.902699003942114,0.04530260821803681,66.95836095912358,0.05961023865049097,7.085323333740234,6.701336860656738,7.373174667358398,0.6718378067016602,16.270766695644657,0.37011051487057833,6293.33349609375,1.14342200756073
3073562610873679872,128.63104055706836,-0.7259850772338318,47.40287652865701,0.0418698130732435,-195.54354493985272,0.08730861055773351,18.203584481368743,0.05003435421172781,7.0960307121276855,6.546563148498535,7.530707359313965,0.9841442108154297,35.145990069727986,0.13278154854407076,5339.0,0.8270962238311768
204358907633155840,70.40441818481945,42.11666449861367,36.312972443446135,0.06967130615065895,534.0041187044262,0.134450999852227,-414.7678840295682,0.08776745090961734,7.096170425415039,6.621030330657959,7.449713230133057,0.8286828994750977,112.66505830413463,0.1962343534960407,5748.5,0.9132078886032104
3712538811193759744,200.9202126397589,2.7261411051633884,60.33729802493436,0.04633436180294971,5.692815727428179,0.09383491691639971,201.28127769180517,0.06199961137188892,7.098739147186279,6.515303611755371,7.572646141052246,1.057342529296875,27.441422339455052,0.15245282024307877,5083.39306640625,0.7307578921318054
3865002247461685248,164.1272146777575,7.388140950784797,57.76185557407798,0.03429073065004535,-257.0099102588319,0.06452743256338933,-77.50756723415954,0.05308214706965089,7.099137783050537,6.494848251342773,7.6008734703063965,1.106025218963623,5.338566848119971,0.1283438882072064,5019.78955078125,0.7876859307289124
2272191085754928768,321.3205108880538,70.47770957495584,37.91307986345594,0.02786910602197487,40.601066337182594,0.0483468692543504,39.56365908775368,0.051432551478060626,7.099310874938965,6.637965202331543,7.450218677520752,0.812253475189209,-76.43214787923156,0.17008022344542534,5859.0,0.8380663394927979
764022867472942976,169.92260758669553,38.100580244908734,17.001472554902108,0.0781613252648935,-57.96762009619978,0.07190695914730588,-68.72766569937163,0.09674230758107322,7.101443290710449,6.777228832244873,7.331005573272705,0.553776741027832,-5.042227839544805,0.6375197646171682,6724.1728515625,1.4063059091567993
5914096303621755520,257.54375492116185,-60.726234791465494,72.73167297920492,0.04666312465811635,71.08103050351613,0.05274067600568537,589.2297896414719,0.06069602311120843,7.102166175842285,6.483368396759033,7.60606575012207,1.122697353363037,6.268774648678113,0.15274745656977085,5013.0,0.6268328428268433
3497935856806670720,195.40302754589447,-24.666421573504408,15.486707127481447,0.06188312279401214,41.27936751631379,0.08880808609026668,-22.087222448665536,0.09676396242861542,7.102957248687744,6.798914432525635,7.316755294799805,0.5178408622741699,-10.062846279327324,0.5218367722062519,6778.490234375,1.5184463262557983
2639405120203115776,353.8113445976807,-3.853625794047174,18.57454225667895,0.053539411074374835,49.31161168254401,0.08212488762143495,33.415970027245024,0.06185803260419986,7.105387210845947,6.767420291900635,7.352512359619141,0.5850920677185059,2.7610263533477912,0.2520963468505813,6504.66650390625,1.3729174137115479
4923433303326992384,6.178826415251504,-53.98411946043327,35.270713103210376,0.029820021966706193,210.44118035873896,0.03611942526198221,-27.95643126722633,0.0404318096822436,7.108062267303467,6.635778903961182,7.468489646911621,0.8327107429504395,6.644593320047349,0.12604253035688387,5739.66650390625,0.938210129737854
1647986068237087104,239.58686294617092,70.89553900896213,33.771517486836,0.02837441518341729,-57.5334630693946,0.05538719315172685,255.56633118754092,0.06528468477275348,7.119904518127441,6.659350872039795,7.459994316101074,0.8006434440612793,-8.583387638053953,0.15598747509783067,5817.0,0.9465462565422058
