Name	S2D FIES	SNR co-added FIES
HD58595	-	105.06592533411084
HD68638	-	104.97423894728884
HD99610	-	64.9515145764004
HD105631	-	81.69184584815243
HD21197	-	45.20476520616752
HD51419	-	98.8709546612384
39Tau	-	109.3616837205795
49SerA	-	80.64157070413773
HD4449	-	76.37619489029575
HD134066A	-	104.60313600617668
pi.01UMiB	-	80.77074838168737
HD221613	-	129.62184699994964
HD72760	-	84.53617681245741
HD88230	-	44.289647116797454
HD175518	-	68.56369752619823
HD197913A	-	81.21509910604154
HD190067	-	113.96111112471942
HD146946	-	117.02470508215686
HD123B	-	80.81729105803483
HD221914	-	95.25102758154206
HD135891	-	112.53536550137828
HD139341B	-	60.61351492266618
HD179957	-	96.663373847961
HD61606	-	80.35810343961535
HD217813	-	111.6926594506588
HD97584A	-	70.81801740347528
pi.01UMiA	-	96.4920741477972
HD90343	-	64.20964190625526
HD198894	-	66.01171259126436
HD18143A	-	60.10153674846072
HD104304	-	63.156537478731565
HD112758	-	86.47297097510847
20LMi	-	97.36896288806456
HD95735	-	24.357187485872917
HD185414	-	105.73581464870396
HD5294	-	98.87835933702512
49SerB	-	85.24941546365021
ksiBooB	-	60.08247115460718
HD217924	-	126.65273525113476
HD106252	-	106.29145694872696
HD10086	-	96.71421865665528
96Cet	-	108.8138099303845
15Sge	-	108.51275958278605
HD68017	-	122.06310588684406
HD71974	-	112.54855380887744
eGemB	-	110.69427558535928
ksiScoC	-	212.8478635204024
etaCasB	-	172.09505318865138
HD218739	-	120.35570207470278
HD47309	-	90.48778918857307
HD219134	-	65.02577310443185
HD87359	-	97.20865324470614
HD268518	-	115.15483754851552
HD24409	-	110.85008222010772
HD69582	-	99.61197085785516
delTri	-	132.3492377994572
39Ser	-	115.80441043155642
26Dra	-	97.71348754746695
HD30455	-	125.86592598295726
HD12051	-	78.87750746986094
HD166301	-	96.69515820473856
11LMi	-	74.97711017144448
etaCasA	-	124.14582733563402
HD137778	-	62.05464264167989
HD123A	-	101.11206659762618
pi.01UMa	-	117.64893456078282
HD120476A	-	57.1763704546393
HD159909	-	89.07862865887549
HD166	-	86.50347788893376
HD46090	-	81.55215535216095
HD12661	-	66.78780314500912
HD26710	-	105.40879936937768
HD116443	-	82.46929485703635
HD108799A	-	84.14249160928719
HD105590A	-	89.88731558260424
HD144087	-	75.46059197507577
HD191785	-	80.44447939323481
HD191499A	-	91.51352461486174
HD116442	-	91.40225201628816
HD148941	-	108.24048406684297
HD155902	-	86.075373313715
HD135204	-	89.60198244150025
HD75767	-	109.24233317119509
72Her	-	120.19712035146269
HD200560A	-	65.82127719642648
14Her	-	47.53582029580496
HD190412	-	94.70417730780188
31HyaB	-	73.01282050158729
HD185501	-	84.73229298093617
HD176051A	-	122.13401689813227
HD64468	-	61.4310414981846
HD217580	-	57.62280152955442
HD148653A	-	87.10539064422314
HD59747	-	82.28484921873182
HD47157	-	72.3645214513768
51Ari	-	80.74949788553296
HD179958	-	100.94135105435024
61UMa	-	90.68333253893164
HD149806A	-	60.1053280485531
85Peg	-	131.81339664111115
HD39833	-	88.87578187096408
HD197433	-	132.91503404845977
HD52711	-	116.91713278489472
HD34673A	-	64.11897004728847
HD122676	-	94.58120050048132
HD177082	-	101.035159299485
HD131023	-	79.20396593274744
ksiBooA	-	100.81321353371372
HD9472	-	111.48730627253671
HD11926	-	118.91205812820183
HD122064	-	53.37033992883112
HD224465	-	99.00196630452216
HD165401	-	118.0513712589485
HD208313	-	74.64988200758361
HIP36357	-	76.96279423719248
HD121325B	-	109.55779506266398
HD200968A	-	68.40553749770355
HD110833	-	65.31497179258852
HD174912	-	134.7156680398897
16CygB	-	73.52395972926006
61Dra	-	97.41649272619703
54Psc	-	69.97675557339679
17CrBB	-	183.43577471731257
HD203454	-	121.3139961081945
HD218868	-	79.67648908792464
70OphB	-	117.13014692582172
54Ori	-	154.5516536619458
HD166181	-	202.7730978314017
HD79211	-	19.77164254316429
HD37394	-	36.629352426569454
mu.Cas	-	218.7333462572568
HD10556	-	96.5361316765884
HD90508A	-	129.3952146781459
HD60779	-	115.33885790737088
2Ari	-	94.29112099486836
HD101177A	-	111.787809854588
HD87883	-	20.963837958148236
HD4628	-	103.47831023944966
HD220821	-	81.80563567499051
HD25893A	-	50.11526197304045
61CygA	-	80.97252275394077
HD7047	-	72.51785966830265
HD170778	-	133.89358117756578
HD190771	-	114.77798088149564
HD114762A	-	141.18262596303768
83LeoA	-	61.4551704294544
