Name	S2D SOPHIE	SNR co-added SOPHIE
HD221757	14	285.3
HD221851	3	120.2
HD221830	48	711.0
HD222033	63	677.9
HD222143	1	83.1
HD222155	106	731.6
HD222794	25	568.6
HD223061	20	192.8
HD223778	8	392.8
HD223789	5	107.6
HD223788	2	85.6
HD223854	2	294.0
HD224156	130	554.4
HD224233	61	441.7
HD224383	3	85.5
HD224602	25	231.1
HD33564	1	169.0
HD175742	1	77.8
HD35112	1	67.6
HD202751	1	64.1
HD67087	4	211.1
HD26161	6	76.3
HD108575	24	126.2
HD201099	1	81.0
HD8574	34	397.9
HD189558	2	3.8
HD186306	2	171.7
HD16673	19	33.5
