Name	S2D SOPHIE	SNR co-added SOPHIE
HD30708	230	646.7
HD30649	1	219.2
HD30869	2	245.0
HD30376	3	76.6
HD30974	8	124.9
HD31000	5	133.2
HD31153	7	144.0
HD31016	3	112.7
HD31338	6	98.0
HD31501	65	430.5
HD31822	3	103.0
HD31867	3	113.7
HD31966	2	210.8
HD32147	1	122.0
HD30841	5	97.6
HD32070	3	89.1
HD31949	13	137.0
HD32237	14	222.5
HD31675	40	1077.9
HD31864	10	198.6
HD31865	57	510.6
HD32724	3	127.2
HD32963	2	120.9
HD33185	13	457.3
HD33313	18	172.2
HD33252	4	139.2
HD33269	3	98.0
HD33588	6	96.9
HD33636	43	496.5
HD33632	50	836.6
HD33866	20	177.3
HD34445	1	20.3
HD34796	2	82.4
HD34720	5	87.8
HD35041	2	94.8
HD34575	142	465.1
HD34887	6	94.8
HD35147	13	132.7
HD35627	1	27.4
HD35638	3	98.7
HD36248	6	107.6
HD36379	1	103.1
HD36395	29	113.6
HD35759	114	468.4
HD36387	14	141.5
HD36909	3	129.2
HD37124	28	430.6
HD36130	4	87.5
HD35783	3	91.7
HD37008	5	120.2
HD37216	10	165.3
HD37685	3	117.6
HD37773	2	131.7
HD37693	55	607.3
HD38277	1	38.8
HD38230	42	307.2
HD37393	12	200.9
HD37879	9	171.0
HD39456	14	225.2
HD39570	9	165.1
HD39881	58	608.0
HD40001	3	184.5
HD40512	3	132.8
HD40650	27	651.9
HD40979	1	139.6
HD41304	3	154.7
HD41593	10	280.6
HD41640	3	148.5
HD41708	5	136.6
HD41476	60	356.2
HD42618	18	496.3
HD42807	13	333.4
HD42250	59	416.1
HD42819	7	107.2
HD43587	27	664.3
HD43382	7	333.2
HD43856	1	38.9
HD43691	30	267.4
HD43947	8	442.1
HD44420	2	117.5
HD43167	5	134.4
HD44985	1	4.5
HD45088	6	285.7
HD45350	3	98.6
HD45391	2	78.1
HD45504	4	125.5
HD45580	1	13.7
HD45652	25	247.0
HD46828	2	84.5
HD45161	4	116.7
HD46317	6	150.4
HD45821	7	119.5
HD47127	91	549.1
HD45875	7	117.0
HD47415	9	235.9
HD47752	1	115.2
HD48565	1	285.4
HD48410	1	48.1
HD46588	4	111.9
HD49385	12	144.2
HD49736	35	560.8
HD49838	14	193.2
HD49674	27	287.3
HD49732	7	118.1
HD50226	3	93.8
HD50554	60	614.7
HD50867	5	132.6
HD51219	33	377.8
HD51295	4	96.3
HD51046	3	114.0
HD50476	3	133.6
HD52265	1	148.7
HD52456	1	68.6
HD51370	4	140.0
HD51067	2	70.3
HD53566	6	108.8
HD54046	5	113.5
HD54100	10	143.6
HD54351	2	57.8
HD54405	3	73.4
HD54371	1	101.8
HD54718	4	102.1
HD55137	1	66.4
HD54717	21	337.7
HD55575	131	1092.2
HD56124	54	604.0
HD56513	4	95.1
HD56354	6	93.4
HD57901	6	114.3
HD57625	74	302.5
HD58551	7	186.0
HD58781	39	420.6
HD58549	14	164.6
HD59062	4	136.0
HD59360	1	44.2
HD60298	61	325.5
HD60521	3	77.6
HD60272	35	373.1
HD60846	9	129.8
HD62346	2	148.2
HD62301	9	90.9
HD63107	1	45.7
HD61690	5	109.9
HD62923	2	67.1
HD63333	3	182.5
HD63433	16	388.3
HD63332	24	684.9
HD64114	1	10.5
HD64606	1	95.0
HD64324	10	236.7
HD64815	11	146.1
HD62613	2	155.5
HD65371	4	82.4
HD65430	53	374.2
HD65629	2	74.1
HD65583	3	181.6
HD66221	1	19.2
HD65518	3	90.4
HD66348	6	106.4
HD66573	1	281.3
HD66922	4	110.6
HD67346	29	230.1
HD67789	3	83.7
HD67587	6	242.2
HD68168	58	481.8
HD68284	10	130.9
HD68380	4	103.2
HD69056	15	140.4
HD67707	28	234.8
HD69611	1	213.8
HD67869	6	160.7
HD69809	1	68.9
HD70110	2	121.7
HD69960	3	82.2
HD71148	1	46.4
HD71227	4	93.8
HD71640	13	153.1
HD71244	46	331.9
HD71779	3	156.8
HD71881	20	362.6
HD72946	25	381.3
HD72823	1	50.3
HD71827	46	331.4
HD72963	9	217.2
HD73344	292	1146.8
HD73512	3	69.8
HD73667	8	206.8
HD73393	15	258.2
HD73636	21	250.6
HD74011	3	318.9
HD74057	2	80.6
HD73933	20	249.4
HD74655	2	56.2
HD74960	4	92.5
HD75302	21	372.8
HD75318	3	73.8
HD75881	1	75.8
HD75616	41	818.9
HD75782	4	100.9
HD75898	3	90.1
HD76025	6	114.5
HD75933	35	489.4
HD76218	4	153.9
HD73835	7	138.2
HD76349	5	104.8
HD76272	38	266.6
HD76752	1	32.0
HD76780	37	420.8
HD76766	21	183.1
HD76765	21	182.8
HD76909	3	79.8
HD77006	17	159.9
HD77278	2	87.9
HD77408	3	101.5
HD77407	1	122.4
